4/2/2010,54,88,0
4/4/2010,57.9,82.9,0
4/6/2010,62.1,90,0
4/14/2010,41,57,0
5/2/2010,72,91.9,0
5/10/2010,42.1,68,0
5/14/2010,64.9,93.9,0
5/16/2010,66.9,82,0.12
5/20/2010,57.9,79,0
5/26/2010,62.1,82.9,0
5/28/2010,64,87.1,0.41
6/1/2010,69.1,84.9,0.29
6/2/2010,71.1,88,0.01
6/14/2010,71.1,93,0
6/15/2010,72,93.9,0.01
6/25/2010,77,93.9,0
6/27/2010,73,100.9,0
7/20/2010,73,98.1,0.64
7/21/2010,75,97,0
7/24/2010,79,100,0
7/28/2010,73.9,93.9,0
7/30/2010,73,89.1,0
7/31/2010,64,78.1,0.12
8/3/2010,71.1,91,0
8/14/2010,73.9,88,0
8/18/2010,75,96.1,0.1
8/21/2010,66.9,90,0
8/23/2010,72,89.1,0
8/28/2010,70,90,0
8/31/2010,64.9,97,0
9/8/2010,71.1,91,0
9/10/2010,57.9,88,0
9/12/2010,64.9,88,0.03
9/13/2010,63,87.1,0
9/14/2010,60.1,96.1,0
9/19/2010,60.1,93,0
9/20/2010,64,93,0
9/22/2010,70,96.1,0
9/23/2010,71.1,99,0
9/24/2010,70,96.1,0
9/30/2010,68,77,1.84
10/5/2010,46.9,69.1,0
10/7/2010,46.9,82,0
10/12/2010,57,88,0
10/20/2010,52,64.9,0.1
10/22/2010,43,68,0
10/24/2010,46.9,78.1,0
10/30/2010,36,64.9,0
11/1/2010,46,63,0
11/3/2010,45,55.9,0.02
11/11/2010,39.9,66,0
11/15/2010,39.9,70,0
11/16/2010,54,66.9,0.38
11/17/2010,39.9,64.9,0.09
11/24/2010,46,63,0
12/9/2010,19.9,42.1,0
12/12/2010,36,52,0.4
12/14/2010,16,35.1,0
12/24/2010,21.9,46.9,0
12/31/2010,28.9,61,0
1/5/2011,26.1,46,0
1/9/2011,19,35.1,0
1/18/2011,32,46.9,0
1/22/2011,17.1,32,0
1/26/2011,37.9,43,0.37
1/27/2011,28,48,0
2/11/2011,21,51.1,0
2/13/2011,25,61,0
2/16/2011,34,63,0
2/18/2011,52,78.1,0
2/23/2011,28.9,53.1,0
3/3/2011,35.1,53.1,0
3/16/2011,46.9,64,0.05
3/19/2011,55.9,75,0
3/21/2011,52,75,0
3/23/2011,50,82.9,0.45
3/30/2011,39.9,48,1.05
4/1/2011,37.9,55,0
4/2/2011,37,64.9,0
4/7/2011,46,79,0
4/8/2011,53.1,82,0.06
4/10/2011,52,72,0
4/12/2011,57,73,0
4/13/2011,46.9,72,0
4/19/2011,55.9,84.9,0
7/27/2011,73,99,0
7/31/2011,73,84.9,1.16
8/4/2011,77,95,0
8/16/2011,64,88,0
9/1/2011,60.1,86,0
9/24/2011,66.9,78.1,0.03
9/29/2011,61,84,0
11/15/2011,62.1,78.1,0
11/23/2011,48.9,73.9,0.18
12/5/2011,45,71.1,0
12/10/2011,36,53.1,0
12/22/2011,61,68,0.08
12/27/2011,42.1,64,0.56
12/29/2011,26.1,55.9,0
12/31/2011,39.9,64.9,0
1/1/2012,35.1,68,0.01
1/25/2012,34,64,0
1/28/2012,32,62.1,0
1/29/2012,32,53.1,0
1/31/2012,36,68,0
2/8/2012,28.9,51.1,0
2/17/2012,42.1,63,0
3/4/2012,34,54,0.17
3/6/2012,27,54,0
3/8/2012,48,75,0
3/21/2012,60.1,75,0.04
3/25/2012,55.9,68,0.03
4/4/2012,57,84.9,0.62
4/29/2012,55,77,0
5/7/2012,57.9,78.1,0
5/8/2012,61,80.1,0
5/10/2012,51.1,72,0
5/13/2012,60.1,75,0.15
6/10/2012,64.9,89.1,0
6/16/2012,53.1,80.1,0
6/7/2008,73.9,100,0
6/22/2008,64.9,87.1,0.93
6/27/2008,71.1,96.1,0
7/9/2008,70,90,0.97
7/13/2008,68,91,0
7/17/2008,64,89.1,0
7/29/2008,72,91.9,0
7/30/2008,75,93,0
8/13/2008,61,73.9,0.11
8/17/2008,64.9,84.9,0
8/22/2008,64,88,0
8/29/2008,70,89.1,0
9/26/2008,63,81,0.96
10/20/2008,35.1,66.9,0
10/26/2008,44.1,70,0
12/23/2008,21.9,44.1,0
1/6/2009,43,57,0.9
2/6/2009,19.9,55,0
3/25/2009,42.1,48.9,0.01
3/27/2009,57,68,0.62
5/11/2009,48,68,0.07
5/12/2009,46.9,75.9,0
5/14/2009,60.1,82,0
6/20/2009,73.9,96.1,0
5/20/2008,57.9,82.9,0.43
5/22/2008,48,78.1,0
5/23/2008,52,79,0
6/14/2008,69.1,96.1,0.01
6/21/2008,66,88,1.18
9/4/2008,64,90,0
9/13/2008,72,91,0
9/15/2008,73,86,0
9/17/2008,60.1,73.9,0
9/24/2008,53.1,70,0
11/15/2008,51.1,75.9,0.62
11/22/2008,21,46,0
11/24/2008,28,55,0.19
2/9/2009,39.9,66,0
2/28/2009,37.9,57.9,0.72
3/1/2009,35.1,37.9,1.38
5/23/2009,61,84.9,0
5/26/2009,69.1,82,0.69
8/5/2009,72,96.1,0.18
8/7/2009,68,88,0
8/24/2009,68,87.1,0
8/27/2009,70,93.9,0
9/6/2009,63,87.1,0
9/13/2009,59,82,0
9/14/2009,57,87.1,0
9/18/2009,64.9,77,0
9/19/2009,62.1,81,0
9/26/2009,63,68,0.32
1/13/2007,48,69.1,0
2/5/2007,19.9,39.9,0
2/8/2007,27,48,0
2/9/2007,21.9,42.1,0
2/26/2007,41,61,0
4/11/2007,46,59,0.73
6/1/2008,64.9,91,0.14
6/5/2008,75.9,96.1,0
6/29/2008,69.1,95,0.82
7/7/2008,69.1,87.1,0
7/19/2008,70,90,0.76
10/10/2008,64.9,73,0.02
10/11/2008,60.1,71.1,0
10/14/2008,48.9,84.9,0
10/16/2008,55.9,84.9,0
11/5/2008,52,68,0
11/7/2008,46.9,80.1,0
11/10/2008,34,61,0
12/10/2008,61,70,0.07
12/17/2008,44.1,57.9,0
12/19/2008,54,71.1,0
1/17/2009,10.9,36,0
1/20/2009,23,35.1,0.19
1/26/2009,33.1,46.9,0
2/15/2009,34,54,0
2/16/2009,30.9,46,0
3/4/2009,19.9,50,0
3/14/2009,39,44.1,0.73
3/17/2009,43,62.1,0
4/5/2009,44.1,82.9,0
4/7/2009,41,51.1,0
4/14/2009,55.9,73,0.12
4/19/2009,53.1,73,0
4/20/2009,59,79,0.36
6/27/2009,71.1,93.9,0
6/30/2009,64,95,0
7/6/2009,70,82.9,0.12
7/9/2009,69.1,87.1,0
7/10/2009,66,84,0
7/23/2009,72,93,0
7/29/2009,72,91.9,0.28
7/30/2009,73.9,95,0.06
8/2/2009,73.9,82.9,0.27
8/9/2009,70,99,0
8/12/2009,71.1,84,0.03
9/7/2009,63,79,0.57
9/8/2009,68,80.1,0
2/28/2016,31.1,66.9,0
3/3/2016,28.2,48.9,0.03
3/6/2016,37,57.9,0.04
3/10/2016,57,79,0
3/11/2016,63,80.1,0
3/16/2016,57,86,0
3/20/2016,39.9,43,0.09
3/26/2016,55,64.9,0.06
3/30/2016,42.1,69.1,0
4/12/2016,55,64,0.85
4/13/2016,45,64,0
4/15/2016,39.9,66.9,0
4/16/2016,35.1,70,0
4/23/2016,61,77,0
4/24/2016,50,73.9,0
5/7/2016,50,75,0
5/14/2016,52,82,0
5/25/2016,59,87.1,0
5/26/2016,64,89.1,0
6/9/2016,52,82,0
6/13/2016,62.1,84.9,0
6/24/2016,69.1,88,0.1
6/26/2016,64,84.9,0
7/13/2016,72,93.9,0
7/16/2016,70,87.1,1.98
7/18/2016,72,93,0
7/29/2016,75,91.9,0
8/6/2016,73.9,93,0
8/8/2016,73,89.1,0.54
8/21/2016,73.9,93.9,0
8/29/2016,69.1,90,0
8/30/2016,66.9,91.9,0
9/6/2016,61,91,0
9/15/2016,66,90,0
9/18/2016,71.1,90,0.06
9/28/2016,66,86,0.45
9/29/2016,64.9,79,0.32
10/1/2016,66,84,0
10/10/2016,45,68,0
10/12/2016,48,73,0
10/18/2016,60.1,84,0
10/20/2016,61,86,0
10/23/2016,39.9,70,0
10/25/2016,44.1,66,0
10/26/2016,39,68,0
11/4/2016,45,69.1,0.07
11/5/2016,37.9,64.9,0
11/6/2016,37,71.1,0
11/9/2016,46.9,66.9,0
11/12/2016,30.2,55,0
11/19/2016,42.1,77,0
11/20/2016,31.1,53.1,0
11/21/2016,27.1,54,0
11/23/2016,28.2,62.1,0
11/29/2016,57.9,72,0.06
12/6/2016,43,48.9,0.56
12/7/2016,37,60.1,0
12/25/2016,48,60.1,0
12/27/2016,52,68,0.01
12/31/2016,23.2,50,0
1/6/2017,32,43,0.25
1/8/2017,15.3,27.1,0
1/10/2017,24.3,48,0
1/12/2017,54,73,0
1/23/2017,43,60.1,0.28
1/28/2017,27.1,52,0
1/30/2017,30.2,46,0
2/1/2017,42.1,70,0
2/5/2017,27.1,60.1,0.01
2/15/2017,39,55.9,0.34
2/19/2017,44.1,73,0
2/20/2017,42.1,73,0
2/24/2017,46.9,80.1,0
2/25/2017,52,81,0
2/27/2017,35.1,66,0
2/28/2017,50,77,0
3/8/2017,46,69.1,0.05
3/25/2017,52,75.9,0
4/7/2017,43,59,0
4/12/2017,55.9,82.9,0
4/16/2017,60.1,82,0
4/22/2017,55.9,87.1,0.09
4/23/2017,53.1,55.9,0.77
4/24/2017,53.1,60.1,4.51
5/4/2017,57,80.1,0.29
5/14/2017,48.9,81,0
5/22/2017,68,80.1,0.3
5/24/2017,64.9,73.9,0.29
5/27/2017,61,88,0
6/17/2017,72,86,0.21
6/18/2017,73.9,91,0.17
6/20/2017,66.9,82,0.72
6/22/2017,71.1,84,0
6/28/2017,57,82.9,0
6/29/2017,60.1,87.1,0
7/2/2017,71.1,91.9,0
7/3/2017,70,93,0.15
7/4/2017,71.1,91.9,0.84
7/9/2017,69.1,88,0
7/11/2017,71.1,95,0
7/14/2017,77,97,0
7/20/2017,71.1,99,0
7/23/2017,71.1,102,0.56
8/11/2017,73,89.1,1.2
8/12/2017,73,91.9,0.48
8/17/2017,75,93.9,0.24
8/29/2017,64,71.1,0.22
9/3/2017,62.1,82.9,0
9/7/2017,53.1,75.9,0
9/9/2017,53.1,75.9,0
9/11/2017,57.9,66.9,0.01
9/21/2017,64.9,88,0
10/14/2017,62.1,78.1,0
10/19/2017,42.1,75.9,0
10/21/2017,48,79,0
10/22/2017,51.1,79,0
10/25/2017,42.1,66,0
10/26/2017,39.9,63,0
10/28/2017,46.9,73.9,0.76
10/30/2017,36,59,0
11/12/2017,28.2,48.9,0.03
11/22/2017,42.1,62.1,0.03
12/12/2017,30.2,53.1,0
12/28/2017,18.1,30.2,0
12/31/2017,23.2,35.1,0
1/2/2018,12.2,32,0
1/10/2018,43,61,0
1/29/2018,33.1,52,0.59
2/13/2018,37,44.1,0
2/16/2018,55.9,81,0.02
2/20/2018,50,72,0
3/15/2018,24.3,64.9,0
3/18/2018,39.9,60.1,0.01
3/23/2018,27.1,55.9,0
3/28/2018,43,75.9,0
4/1/2018,41,75,0
4/8/2018,32,52,0
4/19/2018,45,75.9,0
6/2/2018,68,87.1,0.08
6/14/2018,70,91,0
7/26/2018,68,91.9,0
7/29/2018,70,88,0.07
8/20/2018,68,87.1,0.86
8/22/2018,70,88,0.01
8/25/2018,59,82.9,0
8/29/2018,72,93.9,0
9/4/2018,72,91.9,0.01
1/22/2018,37.9,62.1,0
1/27/2018,31.1,66.9,0
11/17/2014,43,66.9,0.43
11/27/2014,35.1,46.9,0.05
12/5/2014,39.9,52,0
12/15/2014,30.2,60.1,0
12/16/2014,37,52,0.32
12/17/2014,39,60.1,0
12/20/2014,31.1,39,0.07
12/21/2014,37.9,50,0
12/24/2014,46,66,1.71
12/26/2014,30.2,57.9,0
12/30/2014,28.2,41,0.02
1/1/2015,23.2,51.1,0
1/8/2015,11.1,27.1,0
1/10/2015,22.1,39,0
1/15/2015,31.1,41,0
1/17/2015,27.1,51.1,0
1/18/2015,41,60.1,0.49
1/22/2015,30.2,59,0
1/24/2015,35.1,48.9,0.14
2/2/2015,29.1,62.1,0.39
2/5/2015,27.1,50,0
2/12/2015,29.1,54,0
2/21/2015,18.1,39.9,0
2/26/2015,28.2,35.1,0.72
2/27/2015,23.2,45,0
3/2/2015,34,61,0
3/4/2015,37.9,75,0.02
3/9/2015,48,64.9,0
3/19/2015,39.9,54,0.34
4/8/2015,62.1,84,0
4/20/2015,63,78.1,0.28
4/26/2015,45,54,0.02
4/28/2015,39,69.1,0
5/3/2015,46.9,79,0
5/23/2015,48,80.1,0
5/27/2015,69.1,87.1,0.3
5/31/2015,69.1,89.1,0
6/9/2015,66.9,89.1,0.31
6/13/2015,73.9,95,0
6/22/2015,70,96.1,0
6/28/2015,64,84,0
7/16/2015,72,86,0
7/25/2015,64,88,0
7/26/2015,66,89.1,0
7/27/2015,72,90,0
8/2/2015,64.9,90,0
8/6/2015,71.1,95,1.68
8/19/2015,72,89.1,0.19
8/21/2015,70,88,0
8/23/2015,61,87.1,0
9/9/2015,71.1,91,0.21
9/12/2015,68,78.1,0.34
